column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	289739	2	34	9447837	32.61	31	34	34	3	27	34	83725	68003	60016	77858	137	289739
2	289739	2	34	9495440	32.77	31	34	34	3	27	34	82869	65465	61329	80072	4	289739
3	289739	10	34	9512810	32.83	31	34	34	3	27	34	79538	67968	61347	80886	0	289739
4	289739	2	37	10510045	36.27	37	37	37	0	37	37	79667	66955	62810	80187	120	289739
5	289739	2	37	10472029	36.14	35	37	37	2	32	37	79144	64204	65908	80383	100	289739
6	289739	2	37	10466778	36.12	36	37	37	1	35	37	79394	66464	66225	77638	18	289739
7	289739	2	37	10461837	36.11	36	37	37	1	35	37	78784	65225	66528	79198	4	289739
8	289739	8	37	10459051	36.10	35	37	37	2	32	37	78966	66865	64593	79315	0	289739
9	289739	8	39	10967270	37.85	38	39	39	1	37	39	78344	66543	64673	80179	0	289739
10	289739	2	39	10962561	37.84	38	39	39	1	37	39	78769	66947	64972	79050	1	289739
11	289739	2	39	10956035	37.81	38	39	39	1	37	39	78909	66188	64795	79836	11	289739
12	289739	2	39	10948970	37.79	38	39	39	1	37	39	78554	66948	64571	79664	2	289739
13	289739	2	39	10947284	37.78	38	39	39	1	37	39	78707	66382	64364	80278	8	289739
14	289739	2	41	11369474	39.24	39	41	41	2	36	41	78219	66474	64630	80415	1	289739
15	289739	5	41	11371160	39.25	39	41	41	2	36	41	78374	66417	65094	79854	0	289739
16	289739	2	41	11365595	39.23	39	41	41	2	36	41	77875	66604	65052	80204	4	289739
17	289739	2	41	11363047	39.22	39	41	41	2	36	41	78360	66306	65379	79692	2	289739
18	289739	5	41	11355382	39.19	39	41	41	2	36	41	77861	66288	65267	80323	0	289739
19	289739	5	41	11367177	39.23	39	41	41	2	36	41	77461	66874	65202	80202	0	289739
20	289739	5	41	11360307	39.21	39	41	41	2	36	41	77345	67086	65158	80150	0	289739
21	289739	2	41	11355372	39.19	39	41	41	2	36	41	77410	66376	65984	79963	6	289739
22	289739	5	41	11348758	39.17	39	41	41	2	36	41	76927	66978	66071	79763	0	289739
23	289739	2	41	11339046	39.14	39	41	41	2	36	41	77159	66616	66718	79244	2	289739
24	289739	2	41	11331091	39.11	39	41	41	2	36	41	76958	66970	66856	78954	1	289739
25	289739	2	41	11320438	39.07	39	41	41	2	36	41	76876	66797	66589	79474	3	289739
26	289739	2	41	11302851	39.01	39	41	41	2	36	41	76898	66775	67479	78585	2	289739
27	289739	2	41	11291519	38.97	39	41	41	2	36	41	76383	67447	67362	78546	1	289739
28	289739	5	41	11277648	38.92	39	41	41	2	36	41	76536	67633	67153	78417	0	289739
29	289739	2	41	11262459	38.87	38	40	41	3	34	41	76550	67002	67914	78272	1	289739
30	289739	2	41	11251220	38.83	38	40	41	3	34	41	76163	67501	67729	78344	2	289739
31	289739	2	41	11241400	38.80	38	40	41	3	34	41	75774	67049	68286	78629	1	289739
32	289739	2	41	11222454	38.73	38	40	41	3	34	41	75880	67433	68201	78224	1	289739
33	289739	2	41	11212348	38.70	38	40	41	3	34	41	76447	67870	68015	77406	1	289739
34	289739	2	41	11201857	38.66	38	40	41	3	34	41	76053	67445	67984	78255	2	289739
35	289739	2	41	11192049	38.63	38	40	41	3	34	41	75450	68268	67937	78083	1	289739
36	289739	2	41	11172209	38.56	38	40	41	3	34	41	75486	68530	67754	77967	2	289739
37	289739	2	41	11161225	38.52	38	40	41	3	34	41	75674	68387	67843	77834	1	289739
