##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	NA12878_subset_chr22_R1_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	289739
Total Bases	42.8 Mbp
Sequences flagged as poor quality	0
Sequence length	148
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.60809556186775	34.0	31.0	34.0	31.0	34.0
2	32.77239170425797	34.0	31.0	34.0	31.0	34.0
3	32.83234221143857	34.0	31.0	34.0	31.0	34.0
4	36.274181245879916	37.0	37.0	37.0	35.0	37.0
5	36.142973503739576	37.0	35.0	37.0	35.0	37.0
6	36.124850296301155	37.0	36.0	37.0	35.0	37.0
7	36.10779701731558	37.0	36.0	37.0	35.0	37.0
8	36.09818146676837	37.0	35.0	37.0	35.0	37.0
9	37.85223942927946	39.0	38.0	39.0	35.0	39.0
10-14	38.09243767666762	39.4	38.2	39.4	35.2	39.4
15-19	39.22313599480913	41.0	39.0	41.0	36.0	41.0
20-24	39.16253869862186	41.0	39.0	41.0	35.8	41.0
25-29	38.96949668494749	40.8	38.8	41.0	35.0	41.0
30-34	38.74471783225592	40.0	38.0	41.0	34.6	41.0
35-39	38.51841346867353	40.0	38.0	41.0	34.0	41.0
40-44	38.24965917601703	40.0	38.0	41.0	33.2	41.0
45-49	37.946163271081915	40.0	37.2	41.0	33.0	41.0
50-54	37.55591480608409	40.0	36.4	41.0	32.2	41.0
55-59	37.05217937523081	39.0	35.2	41.0	31.2	41.0
60-64	36.501460279769034	38.2	35.0	40.6	31.0	41.0
65-69	35.77998336433825	36.6	34.8	39.6	30.2	41.0
70-74	34.96969203317469	35.4	34.0	38.4	29.8	40.8
75-79	34.21237596595556	35.0	34.0	36.8	29.0	39.2
80-84	33.58705248516769	35.0	33.6	35.8	29.0	37.8
85-89	33.13352845146839	35.0	33.0	35.0	29.0	36.6
90-94	32.84923741712369	35.0	33.0	35.0	28.0	36.0
95-99	32.70607546792113	35.0	33.0	35.0	27.0	35.2
100-104	32.018027259015874	34.4	31.8	34.8	26.0	35.0
105-109	32.60942572453139	35.0	33.0	35.0	27.0	35.0
110-114	32.64110872198772	35.0	33.0	35.0	27.0	35.0
115-119	32.545929957651545	35.0	33.0	35.0	27.0	35.0
120-124	32.45446626101422	35.0	33.0	35.0	27.0	35.0
125-129	32.354039325047715	35.0	33.0	35.0	26.2	35.0
130-134	32.25130134362306	35.0	33.0	35.0	25.0	35.0
135-139	32.153556131552875	35.0	33.0	35.0	25.0	35.0
140-144	32.03234428226783	35.0	33.0	35.0	25.0	35.0
145-148	31.52661360741909	34.75	31.5	35.0	23.5	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.20906398885232846
1101	2	0.21501518660577545
1101	3	0.1709651840393036
1101	4	0.2042350095893326
1101	5	0.26094626804356835
1101	6	0.18750783459692855
1101	7	0.27735753198991375
1101	8	0.24621376649675142
1101	9	0.15009458819424282
1101	10-14	0.14966946903077627
1101	15-19	0.2195197661473145
1101	20-24	0.11516126162248952
1101	25-29	0.07504829950043046
1101	30-34	0.21024104881458783
1101	35-39	0.15322778384895486
1101	40-44	0.2603736489862314
1101	45-49	0.17793702683979262
1101	50-54	0.3046176010890349
1101	55-59	0.18700821465289863
1101	60-64	0.35334368188290455
1101	65-69	0.22998626779698128
1101	70-74	0.29845252730939364
1101	75-79	0.2676163439316923
1101	80-84	0.16540682667344697
1101	85-89	0.1825322263815039
1101	90-94	0.24697558322912982
1101	95-99	0.29221325391283415
1101	100-104	0.2276418615620308
1101	105-109	0.4254228264299229
1101	110-114	0.33450897530750723
1101	115-119	0.3004549095291438
1101	120-124	0.2570330550469606
1101	125-129	0.07388348172990078
1101	130-134	0.08869663395491756
1101	135-139	-0.011554546091741003
1101	140-144	0.08029052135958992
1101	145-148	0.011099819483366247
1102	1	0.2918743877765806
1102	2	0.23107674345622087
1102	3	0.22344538723667284
1102	4	0.1523337694877327
1102	5	0.10423403137839671
1102	6	0.25182876691427936
1102	7	0.19686298544875314
1102	8	0.17778406382231537
1102	9	0.21641387700344694
1102	10-14	0.23577808997804084
1102	15-19	0.28194319360883924
1102	20-24	0.30751147826674696
1102	25-29	0.3058976943906089
1102	30-34	0.2846546152272609
1102	35-39	0.3751163241149058
1102	40-44	0.3707202797945328
1102	45-49	0.3501692097174285
1102	50-54	0.2883730171954113
1102	55-59	0.3026327477471753
1102	60-64	0.19986243281671534
1102	65-69	0.07964262518530063
1102	70-74	0.006262926233638666
1102	75-79	0.09151444642684226
1102	80-84	0.023146255927898096
1102	85-89	-0.15094304629143807
1102	90-94	0.07778762566152864
1102	95-99	-0.05884008539688779
1102	100-104	0.028609290218842176
1102	105-109	0.0441924364702615
1102	110-114	-0.10260816200012357
1102	115-119	-0.2076505738116623
1102	120-124	-0.1276188200464219
1102	125-129	-0.1556921943495908
1102	130-134	-0.26124733735839456
1102	135-139	-0.02311513177827962
1102	140-144	-0.12776266854030638
1102	145-148	-0.40018809326129556
1103	1	0.10949870282753693
1103	2	0.097338842088881
1103	3	0.08872167135609743
1103	4	0.19914715608065592
1103	5	0.17460454400194436
1103	6	0.18492140787294886
1103	7	0.08236767126838629
1103	8	0.2354734170255739
1103	9	0.21945453865141928
1103	10-14	0.2540105373585888
1103	15-19	0.2612231649306054
1103	20-24	0.32135897148128123
1103	25-29	0.21144770207229158
1103	30-34	0.22720339384148502
1103	35-39	0.23858229431002087
1103	40-44	0.2437294465892279
1103	45-49	0.3294773471681367
1103	50-54	0.10726352777050607
1103	55-59	0.19402799535305348
1103	60-64	0.3381760498597899
1103	65-69	0.4546131787777554
1103	70-74	0.4702653331573856
1103	75-79	0.38259090466414847
1103	80-84	0.43602841908659684
1103	85-89	0.3840367253068635
1103	90-94	0.3735793499407194
1103	95-99	0.17783733560991521
1103	100-104	0.2797116100836412
1103	105-109	0.29608084738848106
1103	110-114	0.25885417220379736
1103	115-119	0.1922342011153617
1103	120-124	0.1933790290855555
1103	125-129	0.3095482419693525
1103	130-134	0.26128172496557056
1103	135-139	0.11046529532265481
1103	140-144	0.20623128854475326
1103	145-148	0.2906054234079356
1104	1	0.2452165942243738
1104	2	0.1439723364760397
1104	3	0.14580563568387817
1104	4	0.23370762337711426
1104	5	0.21792081043784606
1104	6	0.2679482581890511
1104	7	0.14451161011601243
1104	8	0.18015022767916378
